"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-killing-v1--p5057","cd-megadeth-killing-v1-p5057","Killing V1","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/albums/Killing_Is_my_bussines/hoodie_killing_v1.jpg","SI","featured","78"
"","","cd-megadeth-kimb-40-edition-v1--p314","cd-megadeth-kimb-40-edition-v1-p314","KIMB 40 Edition v1","314","VicRattlehead | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/kimb_40_edition_v1.jpg","NO","catalog","45"
"","","cd-megadeth-kimb-40-edition-v2--p314","cd-megadeth-kimb-40-edition-v2-p314","KIMB 40 Edition v2","314","VicRattlehead | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/kimb_40_edition_v2.jpg","NO","catalog","45"
"","","cd-megadeth-kimb-40-edition-v3--p314","cd-megadeth-kimb-40-edition-v3-p314","KIMB 40 Edition v3","314","VicRattlehead | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/kimb_40_edition_v3.jpg","NO","catalog","45"
"","","cd-megadeth-kimb-40-edition-v4--p314","cd-megadeth-kimb-40-edition-v4-p314","KIMB 40 Edition v4","314","VicRattlehead | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/kimb_40_edition_v4.jpg","NO","catalog","45"
"","","cd-megadeth-killing-is-my-bussines--kimb-fmd-edition","cd-megadeth-killing-is-my-bussines-kimb-fmd-edition","KIMB FMD Edition","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/fmd-edition-3d/killing/killing_final_3d_edition.jpg","SI","featured","88"
"","","cd-megadeth-let-there-be-shred--p246","cd-megadeth-let-there-be-shred-p246","Let There Be Shred","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/let_there_be_shred.jpg","NO","catalog","58"
"","","cd-megadeth-let-there-be-shred--p5069","cd-megadeth-let-there-be-shred-p5069","Let There Be Shred","5069","Hoodies FMD","Megadeth | Megadeth Vault | Thrash Metal | hoodie | Megadeth Archive","images/hoddies_fmd/let_there_be_shred.jpg","NO","catalog","64"
"","","cd-megadeth-let-there-be-shred-realista--p246","cd-megadeth-let-there-be-shred-realista-p246","Let There Be Shred Realista","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/let_there_be_shred-realista.jpg","NO","catalog","58"
"","","cd-megadeth-let-there-v2--p246","cd-megadeth-let-there-v2-p246","Let There v2","246","Singles","Megadeth | Megadeth Vault | Thrash Metal | remera | Megadeth Archive | Megadeth Singles","images/singles/let_there_v2.jpg","NO","catalog","58"
"","","cd-megadeth-the-sick-the-dying-and-the-dead--life-in-hell","cd-megadeth-the-sick-the-dying-and-the-dead-life-in-hell","Life in Hell","5022","Singles | The Sick, the Dying... and the Dead!","Megadeth | Megadeth Vault | Thrash Metal | The Sick, the Dying... and the Dead! | remera | Megadeth Archive | Megadeth Singles","images/singles/life_in_hell.jpg","NO","catalog","58"
"","","cd-megadeth-rust-in-peace--lineup","cd-megadeth-rust-in-peace-lineup","Lineup","4","Album | Rust in Peace","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Rust in Peace | remera | Megadeth Albums","images/albums/Rust_in_peace/rust_in_peace_lineup.jpg","SI","featured","89"
"","","cd-megadeth-rust-in-peace--lineup-v2","cd-megadeth-rust-in-peace-lineup-v2","Lineup V2","4","Album | Rust in Peace","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Rust in Peace | remera | Megadeth Albums","images/albums/Rust_in_peace/rust_in_peace_lineup_v2.jpg","SI","featured","89"
"","","cd-megadeth-logo-gris--p304","cd-megadeth-logo-gris-p304","Logo Gris","304","VicRattlehead | Peace Sells... but Who's Buying?","Megadeth | Megadeth Vault | Thrash Metal | Peace Sells... but Who's Buying? | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/vic_my_last_words_logo_gris.jpg","NO","catalog","45"
"","","cd-megadeth-logo-negro--p304","cd-megadeth-logo-negro-p304","Logo Negro","304","VicRattlehead | Peace Sells... but Who's Buying?","Megadeth | Megadeth Vault | Thrash Metal | Peace Sells... but Who's Buying? | remera | Megadeth Archive | Vic Rattlehead","images/vic_rattlehead/vic_my_last_words_logo_negro.jpg","NO","catalog","45"
