id,code,name,legacyCategory,declaredGarments,inferredGarments,proposedGarments,variantGarments,variantsCount,status,missingFromDeclared,unsupportedDeclared,designKey,image
"7002","","Buzo Rust in Peace","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","rust-in-peace","images/buzos cuello redondo/megadeth_rust_in_peace.jpg"
"7003","","Buzo Rust Formation FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","rust-formation","images/buzos cuello redondo/megadeth_rust_formation_original_fmd.jpg"
"7004","","Buzo Countdown to Extinction FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","countdown-to-extinction","images/buzos cuello redondo/megadeth_countdown_original_fmd.jpg"
"7005","","Buzo Killing is My Business FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","killing-is-my-business","images/buzos cuello redondo/megadeth_killing_original_fmd.jpg"
"7006","","Buzo So Far So Good FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","so-far-so-good","images/buzos cuello redondo/megadeth_sfsgsw_fmd.jpg"
"7007","","Buzo Youthanasia FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","youthanasia","images/buzos cuello redondo/megadeth_youthanasia_original_fmd.jpg"
"7008","","Buzo Dave Mustaine FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","dave-mustaine","images/buzos cuello redondo/megadeth_dave_mustainejpg.jpg"
"7009","","Buzo Guitarra Argentina FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","guitarra-argentina","images/buzos cuello redondo/megadeth_guitar_arg_fmd.jpg"
"7010","","Buzo Tour FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","tour","images/buzos cuello redondo/megadeth_tour_fmd.jpg"
"7014","","Buzo Megadeth Blanco FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","megadeth-blanco","images/buzos cuello redondo/megadeth_blanco.jpg"
